Range,Occurrences
0.14850841984391966 - 0.15256784116019761,2
0.15256784116019761 - 0.15662726247647557,2
0.15662726247647557 - 0.16068668379275353,3
0.16068668379275353 - 0.16474610510903148,5
0.16474610510903148 - 0.16880552642530944,16
0.16880552642530944 - 0.1728649477415874,6
0.1728649477415874 - 0.17692436905786535,4
0.17692436905786535 - 0.1809837903741433,2
0.1809837903741433 - 0.18504321169042126,1
0.18504321169042126 - 0.18910263300669922,2
0.18910263300669922 - 0.19316205432297717,2
0.19316205432297717 - 0.19722147563925513,1
