Range,Occurrences
0.2117481285096045 - 0.21751733621733219,1
0.21751733621733219 - 0.22328654392505987,3
0.22328654392505987 - 0.22905575163278755,9
0.22905575163278755 - 0.23482495934051523,7
0.23482495934051523 - 0.2405941670482429,13
0.2405941670482429 - 0.2463633747559706,4
0.2463633747559706 - 0.2521325824636983,3
0.2521325824636983 - 0.257901790171426,1
0.257901790171426 - 0.2636709978791537,2
0.2636709978791537 - 0.2694402055868814,0
0.2694402055868814 - 0.27520941329460913,2
0.27520941329460913 - 0.28097862100233684,1
