Range,Occurrences
0.06876503727214107 - 0.07213881061833617,1
0.07213881061833617 - 0.07551258396453127,0
0.07551258396453127 - 0.07888635731072637,0
0.07888635731072637 - 0.08226013065692146,1
0.08226013065692146 - 0.08563390400311656,1
0.08563390400311656 - 0.08900767734931166,7
0.08900767734931166 - 0.09238145069550675,12
0.09238145069550675 - 0.09575522404170185,13
0.09575522404170185 - 0.09912899738789695,5
0.09912899738789695 - 0.10250277073409204,3
0.10250277073409204 - 0.10587654408028714,1
0.10587654408028714 - 0.10925031742648224,2
