Range,Occurrences
10542.199999999997 - 11153.542249999997,3
11153.542249999997 - 11764.884499999996,1
11764.884499999996 - 12376.226749999996,2
12376.226749999996 - 12987.568999999996,1
12987.568999999996 - 13598.911249999996,4
13598.911249999996 - 14210.253499999995,3
14210.253499999995 - 14821.595749999995,2
14821.595749999995 - 15432.937999999995,8
15432.937999999995 - 16044.280249999994,6
16044.280249999994 - 16655.622499999994,2
16655.622499999994 - 17266.964749999996,4
17266.964749999996 - 17878.306999999997,10
