Year,Total Sales,Sales Jan-March,Jan-March as a fraction of total,Sales Feb-March,Feb-March as a fraction of total,Sales March,March as a fraction of total
1976,13294.500000000004,3123.5,0.23494678250404297,2238.3,0.16836285682048965,1243.6,0.09354244236338333
1977,14859.0,3513.1,0.23642910020862776,2543.2,0.17115552863584357,1451.1,0.09765798505955986
1978,15420.8,3483.3,0.225883222660303,2552.0,0.16549076571902885,1480.6,0.09601317700767795
1979,14148.500000000002,3710.0,0.2622186097466162,2632.5,0.18606212672721487,1483.8,0.10487330812453616
1980,11469.2,3222.6000000000004,0.2809786210023367,2180.6000000000004,0.1901265999372232,1141.9,0.09956230600216232
1981,10789.9,2942.3,0.2726902010213255,2128.0,0.19722147563925524,1178.8,0.10925031742648217
1982,10542.199999999997,2612.2,0.2477850922957258,1897.8,0.18001935079964337,1057.3,0.10029215913187003
1983,12295.899999999998,2712.8999999999996,0.22063452044990609,1923.6,0.15644239136622778,1102.0,0.08962337039175662
1984,14483.3,3567.3,0.24630436433685696,2510.4,0.17333066359186097,1351.5,0.09331436896287448
1985,15720.099999999999,3798.2,0.24161423909517116,2601.6,0.16549513043810155,1391.0,0.08848544220456614
1986,16317.8,3693.6000000000004,0.2263540428244004,2479.8,0.15196901543100175,1297.6,0.07952052359999509
1987,15162.4,3449.0000000000005,0.22747058513164145,2530.1000000000004,0.16686672294623545,1381.7,0.09112673455389649
1988,15777.5,3936.3,0.2494881952147045,2813.8,0.17834257645381082,1505.0,0.09538900332752337
1989,14832.7,3549.0999999999995,0.23927538479171015,2464.8999999999996,0.16618012903921736,1337.6,0.0901791312438059
1990,14137.199999999999,3529.9000000000005,0.2496887643946468,2368.6000000000004,0.16754378519084406,1295.2,0.09161644455762104
1991,12530.4,2869.8999999999996,0.2290349869118304,2030.6,0.16205388495179723,1103.1,0.08803390155142693
1992,13106.599999999999,2984.7,0.2277249629957426,2116.9,0.1615140463583233,1128.4,0.08609402896250745
1993,14185.500000000002,3120.3,0.2199640477952839,2205.0,0.155440414507772,1228.9,0.08663071446195057
1994,15397.7,3688.6000000000004,0.23955525825285595,2643.1000000000004,0.1716555069913039,1472.2,0.09561168226423426
1995,15116.800000000001,3563.5,0.2357311071126164,2532.0,0.16749576629974597,1403.3,0.09283049322607959
1996,15456.199999999999,3692.9,0.23892677372187215,2642.3,0.17095405080162007,1404.4,0.09086321346773464
1997,15498.099999999999,3717.9,0.23989392248082025,2603.3,0.16797542924616568,1425.9,0.09200482639807461
1998,15967.3,3622.6,0.22687617818917413,2578.5,0.16148628760028308,1405.5,0.08802364833127706
1999,17415.000000000004,4029.6000000000004,0.23138673557278205,2905.9,0.16686190066035025,1580.2,0.09073786965259832
2000,17811.6,4491.6,0.25217274135956347,3252.3,0.18259448898470662,1713.0,0.09617328033416427
2001,17472.5,4205.6,0.24069824009157248,3009.3,0.1722306481613965,1627.8,0.09316354270997282
2002,17138.497000000003,3999.969,0.23339088602693686,2869.9700000000003,0.1674575080883697,1541.215,0.08992708053687552
2003,16967.490999999998,3820.717,0.2251786666632091,2712.438,0.1598608774862471,1474.819,0.08692027595594423
2004,17298.518,3993.7069999999994,0.23086989301626876,2844.0389999999998,0.16440940200773266,1540.321,0.0890435238440657
2005,17444.746,3997.908,0.22917547782008404,2902.057,0.16635707966169297,1615.983,0.09263436681737872
2006,17048.689000000002,4050.9390000000003,0.23761000039357863,2874.777,0.16862158726691534,1576.647,0.09247907566382375
2007,16460.081000000002,3984.229,0.24205403363446384,2860.013,0.17375449124460562,1574.877,0.09567856926098965
2008,13493.258,3638.444,0.26964903509589755,2575.036,0.19083871367463662,1378.605,0.10216991330040529
2009,10601.978000000001,2244.949,0.2117481285096045,1574.483,0.14850841984391966,872.848,0.08232878808086565
2010,11772.525999999998,2589.784,0.21998541349579526,1877.315,0.15946577650370025,1083.953,0.09207480195839025
2011,13048.386000000002,3120.291,0.23913233406798357,2283.925,0.1750350579757527,1276.843,0.09785447794079666
2012,14779.483999999999,3547.9939999999997,0.2400621023034363,2609.8239999999996,0.17658424340119044,1434.004,0.09702666209456298
2013,15882.712,3763.0829999999996,0.23692949919384043,2697.285,0.16982521624770378,1479.427,0.09314700159519357
2014,16859.843,3827.1369999999997,0.22699719089910858,2784.118,0.16513309169011833,1562.748,0.09269054284787824
2015,17857.324,4044.6130000000003,0.22649603042426739,2866.165,0.16050361185136136,1580.393,0.08850111024473768
2016,17878.306999999997,4179.366,0.23376743670415776,2990.066,0.16724547799744127,1615.066,0.09033662974911441
2017,17565.127,4102.361000000001,0.23355145681554143,2937.1490000000003,0.1672147887117469,1583.986,0.09017788485104605
2018,17712.804000000004,4200.177,0.23712660062178742,3017.5649999999996,0.1703606611353007,1688.494,0.09532618325139258
2019,17488.154000000002,4104.348,0.23469303849908912,2932.344,0.1676760165767067,1643.423,0.09397349771736913
2020,14881.355999999998,3575.4880000000003,0.24026627680972087,2407.031,0.1617480960740406,1023.317,0.06876503727214107
2021,15408.565000000002,4011.1719999999996,0.2603209318972921,2869.4629999999997,0.18622519358551554,1642.749,0.10661271831607938
